index,Sek_1,Sek_2,Sek_3,Sek_4,Sek_5,Sek_6,Sek_7,Sek_8,Sek_9,Sek_10,Sek_11,Sek_12,Sek_13,Sek_14,Sek_15,Sek_16,Sek_17,Sek_18,Sek_19,Sek_20,Sek_21,Sek_22,Sek_23,Sek_24,Sek_25,Sek_26,Sek_27,Sek_28,Sek_29,Sek_30,Sek_31,Sek_32,Sek_33,Sek_34,Sek_35,Sek_36,Sek_37,Sek_38,Sek_39,Sek_40,Sek_41,Sek_42,Sek_43,Sek_44,Sek_45,Sek_46,Sek_47,Sek_48,Sek_49,Sek_50,Sek_51,Sek_52,Sek_53,Sek_54,Sek_55,Sek_56,Sek_57,Sek_58,Sek_59,Sek_60,Sek_61,Sek_62,Sek_63,Sek_64,Toplam Uretim,İthalat,Toplam Arz
Urun_1,170616485.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170616485.27,13646013.13,184262498.40
Urun_2,0.00,4226521.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4226521.79,286117.32,4512639.11
Urun_3,0.00,188.02,3901474.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3901662.95,101476.14,4003139.09
Urun_4,0.00,0.00,0.00,28110945.93,25671.91,0.00,0.00,0.00,0.00,5455.00,223271.14,0.00,0.00,1394346.26,227399.27,717.24,0.00,0.00,1963.94,0.00,0.00,493.15,0.00,743225.77,0.00,53509.09,1681567.25,0.00,151233.82,50962.86,38762.70,125.52,0.00,14940.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5490.01,0.00,0.00,9.65,0.00,7268.06,1250.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32738610.18,76127458.59,108866068.78
Urun_5,16425611.12,0.00,0.00,19708.32,151123833.03,254811.85,0.00,114606.60,1871.86,0.00,1427795.27,21475.85,0.00,0.00,10582.26,0.00,0.00,0.00,11368.98,28.87,0.00,13487.44,0.00,122.34,0.00,0.00,103388.28,0.00,2341750.26,702696.55,14611.79,0.00,0.00,0.00,0.00,637711.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38241.84,11911.88,0.00,633.38,3427.38,0.00,0.00,0.00,0.00,0.00,121.65,0.00,173279798.03,11039585.80,184319383.83
Urun_6,0.00,0.00,0.00,0.00,70362.37,147247323.85,8209.11,17981.74,22694.36,21864.46,83244.69,18379.45,332195.59,25008.08,1651.58,22916.36,918.03,14140.59,16407.89,187115.20,1393.47,337687.29,0.00,0.00,0.00,0.00,133449.46,27989.48,2088372.84,1398506.10,65.92,0.00,0.00,177.15,0.00,80175.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30417.32,0.00,0.00,0.00,0.00,0.00,38.11,0.00,0.00,0.00,0.00,152188685.85,16717037.15,168905723.00
Urun_7,0.00,0.00,0.00,0.00,110.91,78620.12,10720089.92,1311.68,0.00,0.00,13956.26,0.00,80022.76,19045.18,0.00,180784.32,0.00,1640.29,1868.89,0.00,620.88,554876.07,171.36,0.00,0.00,0.00,183111.28,7481.95,145081.99,21391.34,13121.26,0.00,0.00,200.60,0.00,0.00,0.00,0.00,0.00,1594.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12025113.87,2663799.42,14688913.29
Urun_8,0.00,0.00,0.00,0.00,25754.89,145045.22,64788.39,16840000.14,768565.98,0.00,237792.48,9433.00,284002.18,25.78,2744.20,69829.87,0.00,206.06,186.69,310.90,0.00,16427.41,0.00,0.00,0.00,0.00,0.00,2798.26,170400.43,10707.42,0.00,0.00,0.00,0.00,0.00,0.00,62515.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2614.99,68.13,0.00,0.00,0.00,9062.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18723280.46,6364286.01,25087566.46
Urun_9,0.00,0.00,0.00,0.00,0.00,1315.44,0.00,202912.24,7882725.97,0.00,0.00,0.00,95644.77,77118.24,0.00,8529.80,8414.23,20282.92,6171.60,0.00,0.00,1441.33,47158.40,0.00,0.00,0.00,0.00,0.00,73859.23,17241.88,2266.66,0.00,0.00,0.00,0.00,0.00,640519.35,0.00,0.00,53439.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5635.89,0.00,883.55,0.00,0.00,6741.44,0.00,80085.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9232387.23,34902.56,9267289.79
Urun_10,0.00,0.00,0.00,16656.28,0.00,0.00,0.00,0.00,0.00,42447586.94,544111.09,0.00,0.00,1697.42,214786.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,469224.78,506.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43694569.29,37425011.38,81119580.67
Urun_11,0.00,0.00,0.00,115874.57,748374.08,466118.41,221130.83,938448.02,4968.45,1420796.20,37553365.76,164104.71,350540.41,328500.50,331863.54,220211.67,0.00,2161.58,43505.99,0.00,0.00,42869.46,0.00,1798.50,0.00,31702.57,25800.25,11019.00,615132.69,50714.51,0.00,0.00,0.00,80.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49509.00,0.00,0.00,3856.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43742447.78,49634706.55,93377154.33
Urun_12,0.00,0.00,0.00,13.54,3395.24,4277.00,0.00,31626.67,0.00,0.00,3943.17,7890737.53,680.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11528.30,0.00,0.00,0.00,2238.92,0.00,408.45,770585.34,3743.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17968.26,0.00,0.00,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8741148.86,8452487.10,17193635.96
Urun_13,0.00,0.00,0.00,0.00,5558.13,360744.70,9877.17,120381.01,196372.60,265.92,240673.11,0.00,39589609.07,301479.85,240535.94,542196.51,71394.21,156499.76,274061.47,567808.82,9959.01,160410.18,955.21,0.00,0.00,8751.94,286079.30,50078.11,400501.96,20842.15,4346.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2096.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1831.49,0.00,1838.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43625149.21,8216139.11,51841288.32
Urun_14,0.00,0.00,0.00,363095.71,9345.24,86086.59,22803.96,9962.47,410.73,0.00,126434.06,0.00,223212.19,47130758.32,51815.29,77664.08,0.00,67762.18,12662.87,0.00,0.00,109448.69,0.00,0.00,0.00,983.62,2244589.99,0.00,367086.10,57555.36,149914.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.88,0.00,0.00,7613.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51119331.53,3133263.47,54252595.00
Urun_15,0.00,0.00,0.00,19465.56,0.00,1561.94,447.66,530.90,377.38,0.00,96597.74,0.00,169471.07,80146.20,92535371.45,2218497.80,1530.84,400289.96,289176.36,210757.79,97.14,17794.94,2149.93,0.00,0.00,176055.50,128401.74,28124.05,293726.59,54328.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1169.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96726070.66,48067418.05,144793488.71
Urun_16,0.00,0.00,0.00,1330.99,454.71,19392.46,2030.62,2284.81,11121.89,157.88,39783.72,0.00,534333.92,41619.48,1046202.32,42375740.40,36839.56,588475.69,1019127.71,1672342.64,98415.67,444875.08,12538.81,8533.84,0.00,0.00,1031267.00,9327.59,417102.79,62332.15,1940.02,0.00,0.00,0.00,0.00,6703.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8764.66,0.00,0.00,0.00,703.45,0.00,0.00,50355.26,0.00,0.00,0.00,731.59,0.00,0.00,0.00,0.00,0.00,0.00,49544830.12,8167940.35,57712770.47
Urun_17,0.00,0.00,0.00,0.00,0.00,4.29,1180.43,2049.19,8731.28,0.00,0.00,2609.86,8428.84,62.69,0.00,298562.71,8703266.46,1559824.57,64054.83,51437.41,603.71,5753.69,20494.53,0.00,0.00,0.00,415994.73,17765.42,184483.36,98702.42,0.00,0.00,0.00,0.00,0.00,0.00,20.83,1813.33,43107.57,11743.11,0.00,0.00,0.00,0.00,0.00,0.00,193024.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11693719.62,22817391.06,34511110.68
Urun_18,0.00,0.00,0.00,4842.22,6.12,13.62,24.71,70.36,28530.23,0.00,105.89,0.00,98861.72,114823.59,120207.54,686387.56,260250.24,34972486.58,686314.37,154363.31,1010.66,13705.92,893.53,0.00,0.00,0.00,72184.98,164572.71,452791.84,6640.21,0.00,0.00,0.00,678.52,0.00,0.00,0.00,0.00,0.00,1579.58,0.00,0.00,0.00,0.00,0.00,0.00,7086.09,0.00,0.00,0.00,0.00,0.00,0.00,778.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37849210.70,17285198.00,55134408.70
