"SIRA","SEKTÖR KISLATMA","SEKTÖR KODU","SEKTÖRLER","SECTORS","SEKTÖR TOPLULAŞTIRMA","ÜRÜN KISLATMA","ÜRÜN KODU","ÜRÜNLER","PRODUCTS","ÜRÜN TOPLULAŞTIRMA"
"1","Sek_1","A01","Bitkisel ve hayvansal üretim ile avcılık ve ilgili hizmet faaliyetleri","Crop and animal production, hunting and related service activities","TARIM","Urun_1","A01","Tarım ve avcılık ürünleri ve ilgili hizmetler","Products of agriculture, hunting and related services","TARIM"
"2","Sek_2","A02","Ormancılık ile endüstriyel ve yakacak odun üretimi","Forestry and logging","TARIM","Urun_2","A02","Orman ürünleri ve ilgili hizmetler ","Products of forestry, logging and related services","TARIM"
"3","Sek_3","A03","Balıkçılık ve su ürünleri yetiştiriciliği","Fishing and aquaculture","TARIM","Urun_3","A03","Balık ve diğer balıkçılık ürünleri; su ürünleri; balıkçılık için destekleyici hizmetler","Fish and other fishing products; aquaculture products; support services to fishing","TARIM"
"4","Sek_4","B","Madencilik ve Taşocakçılığı","Mining and quarrying","SANAYİ","Urun_4","B","Madencilik ve Taşocakçılığı","Mining and quarrying","SANAYİ"
"5","Sek_5","C10-C12","Gıda, içecekler ve tütün ürünlerinin imalatı","Manufacture of food products; beverages and tobacco products","SANAYİ","Urun_5","C10-C12","Gıda, içecekler ve tütün ürünleri","Food, beverages and tobacco products","SANAYİ"
"6","Sek_6","C13-C15","Tekstil, giyim eşyası, deri ve ilgili ürünlerin imalatı","Manufacture of textiles, wearing apparel, leather and related products","SANAYİ","Urun_6","C13-C15","Tekstil, giyim eşyası, deri ve ilgili ürünler","Textiles, wearing apparel, leather and related products","SANAYİ"
"7","Sek_7","C16","Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç); saz, saman ve benzeri malzemelerden örülerek yapılan eşyaların imalatı","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","SANAYİ","Urun_7","C16","Kereste, ağaç ürünleri ve mantar ürünleri (mobilya hariç); hasır ve örme malzemesinden (saz, saman vb.) ürünler","Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","SANAYİ"
"8","Sek_8","C17","Kağıt ve kağıt ürünlerinin imalatı","Manufacture of paper and paper products","SANAYİ","Urun_8","C17","Kağıt ve kağıt ürünleri","Paper and paper products","SANAYİ"
"9","Sek_9","C18","Kayıtlı medyanın basılması ve çoğaltılması","Printing and reproduction of recorded media","SANAYİ","Urun_9","C18","Basım ve kayıt hizmetleri","Printing and recording services","SANAYİ"
"10","Sek_10","C19","Kok kömürü ve rafine edilmiş petrol ürünleri imalatı","Manufacture of coke and refined petroleum products","SANAYİ","Urun_10","C19","Kok ve rafine petrol ürünleri","Coke and refined petroleum products","SANAYİ"
