"index","Sek_1","Sek_2","Sek_3","Sek_4","Sek_5","Sek_6","Sek_7","Sek_8","Sek_9","Sek_10","Sek_11","Sek_12","Sek_13","Sek_14","Sek_15","Sek_16","Sek_17","Sek_18","Sek_19","Sek_20","Sek_21","Sek_22","Sek_23","Sek_24","Sek_25","Sek_26","Sek_27","Sek_28","Sek_29","Sek_30","Sek_31","Sek_32","Sek_33","Sek_34","Sek_35","Sek_36","Sek_37","Sek_38","Sek_39","Sek_40","Sek_41","Sek_42","Sek_43","Sek_44","Sek_45","Sek_46","Sek_47","Sek_48","Sek_49","Sek_50","Sek_51","Sek_52","Sek_53","Sek_54","Sek_55","Sek_56","Sek_57","Sek_58","Sek_59","Sek_60","Sek_61","Sek_62","Sek_63","Sek_64","Toplam Ara Tüketim","Hanehalkı","Devlet","Yatırım","İhracat","Toplam Kullanım"
"Urun_1","-1232475.47","-176.74","-187.42","-556.31","-540724.93","-81751.03","-1513.58","-516.98","-0.02","-9.29","861.79","-587.38","7533.71","-170.54","-2.23","-2.44","0.00","-0.08","-5.75","7.15","-0.10","-352.42","-4.01","-0.06","-0.15","-61.02","2011.27","15.32","-8020.48","964.41","-162.49","-30.14","0.00","5.55","0.00","-23062.15","-0.07","3.60","0.00","-27.38","0.00","0.00","-0.19","-412.81","-17.45","3.15","636.35","-9.92","0.00","-914.75","0.00","0.00","161.16","165.38","-5762.29","-923.83","-195.33","12.50","-31.90","-922.11","-282.50","0.00","-14.46","0.00","- 1,887,506.84\    ","-1107963.50","0.00","-231322.69","-184235.88","-3411028.91"
"Urun_2","0.00","0.00","0.00","1904.20","1856.04","99.08","26283.21","6133.89","0.03","2.66","785.58","0.70","78.88","344.23","15.98","21.08","0.00","141.57","39.87","4.00","0.20","1.54","0.00","8.56","0.17","0.11","194.79","14.24","59.34","26.45","66.76","0.00","0.00","0.10","0.24","1081.55","0.03","0.01","23.03","0.00","0.00","0.00","0.00","109.52","135.45","0.00","22.56","0.00","0.00","0.00","0.00","0.00","0.00","149.88","2.24","8.72","3.94","0.00","148.61","2.56","0.04","10.04","82.49","0.00","  39,864.21\    ","1859.98","0.00","157.05","18.57","41899.81"
"Urun_3","0.00","0.00","-3902.83","-31.58","-10901.07","-5.35","0.00","0.00","0.00","-2.76","-2.41","0.00","0.00","-52.03","0.00","0.00","0.00","0.00","0.00","0.00","-0.61","0.00","0.00","0.00","0.00","-0.02","-185.28","0.00","-271.94","-1472.19","0.00","-29.51","0.00","-18.41","0.00","-21314.33","-0.05","0.00","0.00","0.00","0.00","0.00","0.00","-1.90","0.00","0.00","0.00","0.00","0.00","-88.71","0.00","0.00","-70.78","-27.58","-220.19","-5.16","-75.98","-0.99","-63.20","-0.98","-8.13","0.00","0.00","0.00","- 38,753.93\    ","-114974.02","0.00","-733.36","-13843.47","-168304.78"
"Urun_4","7020.67","272.87","202.98","81645.71","94431.73","147926.99","15608.78","39918.01","200.85","4732903.01","288672.00","12.34","23628.54","365980.90","937251.60","20052.26","2.84","8583.84","1323.93","20285.50","84.66","1335.24","2159.52","3956646.99","140.29","1817.15","119981.61","5876.35","27909.03","18687.17","28194.82","113.91","32.41","85.52","10.59","5581.66","38.66","0.00","386.71","0.12","0.00","0.00","44.13","260356.78","3747.94","1456.82","1799.22","0.02","0.00","3255.58","20.94","0.00","264.78","534.81","448.23","612.54","17742.42","395.66","11.55","151.40","4043.16","772.58","2119.07","0.00","  11,252,785.39\    ","851573.77","0.00","352435.40","53937.11","12510731.66"
"Urun_5","53156.17","10.23","2234.35","3306.94","1154445.12","24281.03","538.43","12503.57","1121.61","208.58","7547.87","1425.32","3636.70","2238.80","535.04","1479.98","44.92","8303.95","3741.01","731.70","3532.02","2288.35","460.50","11672.64","813.37","1531.48","16601.84","3773.51","20484.98","102596.33","6777.15","1548.27","1070.30","1749.78","644.01","1902971.58","1002.02","2531.81","5147.66","992.55","630.30","631.85","228.19","814.27","63.34","3446.74","4150.07","30.19","228.58","2463.26","83.36","93.71","2719.61","15646.60","96897.01","6917.96","10572.18","7513.48","2535.35","12656.96","1739.22","3505.73","5700.22","0.00","  3,548,949.66\    ","27589047.48","0.00","645883.72","4346.30","31788227.15"
"Urun_6","2705.79","78.77","256.28","2274.18","7178.02","951584.28","125.31","9964.01","503.17","85.91","4297.02","2443.77","8602.70","4782.01","1293.22","1901.47","131.52","2473.55","3550.49","10039.68","705.98","48098.42","1180.84","95.97","65.54","614.64","4058.06","2192.61","29411.12","12258.66","3813.95","20.02","86.72","499.63","948.01","6977.54","74.78","558.77","136.39","34.47","275.20","144.75","17.02","391.84","188.20","618.73","457.93","0.87","640.13","703.88","30.95","136.11","5292.25","4972.42","13533.41","1218.24","2347.59","587.17","292.64","2963.79","167.25","2971.32","27311.18","0.00","  1,191,366.15\    ","3232734.73","0.00","11672.51","30954.32","4466727.70"
"Urun_7","2850.46","45.32","80.61","3577.53","2014.13","1759.88","95040.61","937.58","166.56","15.11","926.67","57.07","4493.64","6263.05","3053.37","6377.92","60.51","4322.46","3850.90","438.26","1388.40","131737.24","9353.26","44.20","253.04","292.03","122552.57","586.40","8729.78","5596.77","925.45","4.61","0.00","44.60","0.31","148.11","0.01","0.00","13.49","0.00","0.00","0.00","0.00","692.57","664.25","1.62","595.92","0.88","60.71","1250.01","4.16","0.00","0.00","580.62","613.51","33.85","205.98","1.20","16.82","74.28","2498.58","2875.25","1559.39","0.00","  429,731.50\    ","14260.73","0.00","14156.98","5181.52","463330.74"
"Urun_8","2123.12","110.06","222.10","308.58","39451.84","26497.42","9786.88","333433.70","157089.31","454.64","6885.19","2359.26","22041.60","14910.49","13748.21","3253.44","867.83","5331.12","2208.77","1474.05","68.02","2770.35","20.67","709.62","89.05","102.35","1547.14","604.51","8016.81","7170.83","657.49","0.02","58.37","774.54","916.00","9145.12","41751.97","206.36","716.73","880.19","8641.59","246.98","1890.77","283.54","11.77","4603.00","4481.14","751.38","941.18","2597.10","1.62","54.43","24.71","4985.03","14326.57","7646.28","9686.50","801.52","1624.36","1289.81","2056.77","21.40","143.57","0.00","  785,874.82\    ","434371.03","0.00","11731.25","6007.58","1237984.67"
"Urun_9","0.00","24.74","0.08","22.64","356.25","444.36","23.42","207.47","2940.96","2.21","153.35","195.29","257.11","83.20","45.84","90.38","46.91","326.16","264.76","93.45","46.60","1262.50","40.31","24.80","9.20","18.87","280.54","342.00","6053.45","4954.44","1287.31","16.48","10.52","486.59","166.90","391.85","4190.79","203.40","278.56","141.58","591.08","123.77","286.92","32.95","0.00","282.01","367.75","13.06","1431.27","187.59","21.93","99.38","2049.44","923.42","1662.89","902.94","231.60","104.13","349.47","126.31","470.38","595.13","248.34","0.00","  36,887.22\    ","27930.67","0.00","-214.68","16.93","64620.14"
"Urun_10","2460706.10","17322.19","88419.38","911652.21","381122.05","245633.49","51138.56","43434.85","24025.81","514763.23","342692.09","25128.56","148166.30","1023655.87","169484.37","163116.65","5372.30","247862.13","99169.13","76984.06","12658.35","89293.10","62807.18","243303.02","47490.55","181045.03","2966992.76","297887.16","1689631.46","1451926.11","11405509.53","719066.94","3025226.29","573004.85","195528.07","326548.47","8291.62","9086.71","39991.53","19746.23","18063.76","41133.88","18580.12","251477.42","212181.00","132810.88","85040.76","6687.78","30928.38","20208.12","84222.63","6511.46","156838.20","217234.64","1686336.62","304058.09","106425.52","42145.92","9461.96","20536.73","61060.40","46235.19","298880.96","0.00","  34,261,944.75\    ","9873691.32","0.00","421301.72","10809.21","44567747.00"
