index,Sek_1,Sek_2,Sek_3,Sek_4,Sek_5,Sek_6,Sek_7,Sek_8,Sek_9,Sek_10,Sek_11,Sek_12,Sek_13,Sek_14,Sek_15,Sek_16,Sek_17,Sek_18,Sek_19,Sek_20,Sek_21,Sek_22,Sek_23,Sek_24,Sek_25,Sek_26,Sek_27,Sek_28,Sek_29,Sek_30,Sek_31,Sek_32,Sek_33,Sek_34,Sek_35,Sek_36,Sek_37,Sek_38,Sek_39,Sek_40,Sek_41,Sek_42,Sek_43,Sek_44,Sek_45,Sek_46,Sek_47,Sek_48,Sek_49,Sek_50,Sek_51,Sek_52,Sek_53,Sek_54,Sek_55,Sek_56,Sek_57,Sek_58,Sek_59,Sek_60,Sek_61,Sek_62,Sek_63,Sek_64,Toplam Ara Tüketim,Hanehalkı,Devlet,Yatırım,İhracat,Toplam Kullanım
Urun_1,35146986.83,23867.57,6175.10,32185.84,40415953.32,4405629.41,59754.89,32399.94,0.98,732.46,81432.14,34946.92,358107.10,9059.20,115.30,135.62,0.00,47.24,2480.05,327.13,3.98,33516.91,208.48,2.88,38.12,5839.81,141644.46,5692.41,462712.60,248945.26,9495.75,1674.01,0.00,634.87,0.00,2279153.54,12.77,454.82,0.00,1407.42,0.00,0.00,7.27,34892.11,7958.06,353.41,73348.50,509.15,0.00,36038.99,0.00,0.00,44774.29,42457.52,949023.88,94646.92,36407.34,34648.00,1759.81,50325.81,14617.50,0.00,1284.79,0.00,85224828.49,61781184.42,0.00,14511193.16,9099279.20,170616485.27
Urun_2,55695.17,89464.25,2151.93,84904.88,86066.99,12305.68,1182173.84,273608.53,1.37,144.14,99871.08,89.07,6855.89,18499.29,1599.51,1702.04,0.00,6691.09,5086.20,178.48,9.00,68.96,0.00,381.79,117.15,1767.54,15414.54,635.10,3281.73,1181.39,2976.89,44.48,0.00,4.31,10.76,48281.32,3.61,141.68,1026.70,0.00,0.00,0.00,0.00,10156.97,12561.33,0.00,2950.16,0.00,0.00,0.00,0.00,0.00,0.00,9419.50,1130.78,2398.26,413.61,0.00,6625.91,509.10,695.57,447.57,3678.07,0.00,2053423.19,2125648.76,0.00,34032.15,13417.68,4226521.79
Urun_3,0.00,0.00,91656.10,757.17,260875.28,127.99,0.00,0.00,0.00,65.97,57.50,0.00,0.00,1240.69,0.00,0.00,0.00,0.00,0.00,0.00,14.68,0.00,0.00,0.00,0.00,0.47,4458.14,0.00,6557.37,35220.64,0.00,706.92,0.00,441.19,0.00,499120.87,1.27,0.00,0.00,0.00,0.00,0.00,0.00,45.27,0.00,0.00,0.00,0.00,0.00,2119.40,0.00,0.00,1855.95,662.72,5282.58,123.40,1832.03,23.58,1506.18,23.43,194.56,0.00,0.00,0.00,914971.37,2621688.66,0.00,17495.65,347507.27,3901662.95
Urun_4,443105.11,10862.21,639.67,1356491.87,276342.32,122267.33,12791.07,6060.57,3990.35,2512514.54,258254.05,208.10,29326.10,5906435.73,4392302.12,118332.87,42.62,128588.41,20064.64,26552.77,3192.71,29374.19,29923.41,1689971.26,5083.21,80154.07,4940171.52,52407.66,649458.21,123612.46,264329.62,5799.67,40.15,1380.46,375.46,93831.41,584.07,0.00,821.79,0.10,0.00,0.00,2479.16,60018.22,47866.35,7520.69,105476.74,0.59,0.00,2714.22,1316.12,0.00,19365.14,26093.43,6491.77,8149.70,111557.75,3727.77,11.70,3532.83,8357.12,10794.71,34001.97,0.00,24055159.82,2292572.20,0.00,1487637.99,4903240.18,32738610.18
Urun_5,6366487.28,309.54,162429.19,33394.89,18359054.66,450575.00,8642.11,87801.48,12070.21,5051.49,82246.62,66995.99,17754.75,31299.66,19823.71,27095.72,991.63,17934.56,18522.83,6749.20,6069.51,76258.62,21870.75,18317.97,5607.52,21844.10,116822.91,41419.61,580085.54,1322785.24,136768.54,16771.43,2143.25,21338.40,28978.16,14852830.76,4838.51,15740.79,20482.06,9327.66,43468.59,8356.15,5955.00,13925.93,84.37,54288.51,37523.63,1297.13,2274.84,39656.69,1203.52,830.72,61796.85,284284.57,1308328.69,243457.66,235119.87,152248.42,16694.22,150511.77,31961.63,17212.03,199761.08,0.00,46005773.68,108786917.49,0.00,629901.76,17857205.10,173279798.03
Urun_6,86778.71,3357.52,7888.74,76505.05,244563.09,46274244.75,4354.97,331539.25,18132.87,3385.05,179915.05,113752.33,290636.45,156585.14,50907.82,65353.59,4116.86,81683.34,105248.74,316493.85,23083.93,1753565.02,37260.99,4832.06,3249.75,18704.35,146128.44,74695.18,941932.46,689830.80,130313.96,995.09,4376.64,24603.53,39149.02,258774.73,2632.44,9448.63,2749.13,1695.59,8842.01,5205.32,409.33,14424.85,7625.21,25585.71,21329.80,16.45,22834.94,31543.26,1028.81,6433.15,109979.98,197533.90,586795.31,53181.46,83563.24,23264.89,13685.26,79289.22,6127.20,101350.70,909898.83,0.00,54893413.76,45657772.32,0.00,-2360554.01,53998053.78,152188685.85
Urun_7,88242.76,617.07,1193.91,45823.90,57793.41,53415.11,1694584.85,29561.24,5216.40,478.14,23752.53,1805.83,75964.50,183325.87,61262.59,165380.36,1893.06,128711.71,86575.59,13356.74,22061.69,2925053.17,292935.39,540.72,2790.78,9123.57,3751878.68,11817.67,180986.78,88059.58,25839.43,146.44,0.00,798.07,9.98,2870.58,0.23,0.00,427.83,0.00,0.00,0.00,0.00,10856.57,9474.11,51.22,18063.42,27.86,1927.46,40228.76,49.61,0.00,0.00,16163.94,15622.01,812.34,5734.12,35.46,277.42,1355.20,79027.83,69792.70,50415.31,0.00,10354211.47,99850.68,0.00,421935.93,1149115.79,12025113.87
Urun_8,200338.98,10778.31,13182.17,7717.06,2015203.46,910111.90,89498.49,1776117.58,690847.04,41018.45,334400.27,109806.90,279461.26,387904.55,124265.82,187786.14,40018.51,251101.38,85504.73,89775.47,6334.40,101190.81,797.69,66359.65,6594.46,5845.11,114793.02,34408.52,525165.18,432325.30,62080.27,2.23,5508.99,72745.71,56908.52,423877.10,174933.49,7443.48,55313.13,72691.38,170999.66,23346.66,66419.65,17531.15,1113.43,337875.94,173851.33,3990.55,23582.07,15493.47,153.55,5124.16,607.08,186610.28,222002.62,242692.54,221198.33,38872.00,54887.56,19441.90,24508.98,1830.35,9288.77,0.00,11731578.97,4216435.37,0.00,-3184.53,2778450.65,18723280.46
Urun_9,48.11,6600.84,20.30,5824.65,91247.19,113828.82,5975.34,52450.58,742251.69,566.81,39346.79,50176.47,65970.73,21348.89,11683.25,23213.86,12043.47,83447.65,67914.72,23963.16,12094.75,325274.82,10384.26,6336.91,2366.33,4885.61,73046.21,88126.52,1574305.18,1286329.29,328915.16,4229.79,2700.32,125197.67,43215.60,99038.59,1061150.37,54324.73,72270.78,36365.31,152238.68,31890.54,73809.22,8458.61,0.00,73248.73,95106.26,3362.65,368060.59,49504.54,5676.11,26140.05,576840.94,242031.26,429249.56,232681.99,59953.75,27430.99,90298.03,32886.21,120990.71,154828.09,64570.83,0.00,9547739.88,147516.02,0.00,-471467.05,8598.38,9232387.23
Urun_10,2089304.28,16169.56,75575.75,778826.56,327617.17,209862.02,43613.02,36950.25,19760.04,437605.44,291360.12,21391.56,126919.73,889754.74,195680.98,139612.81,4606.34,209796.58,84369.25,65581.78,10891.41,75823.73,54963.23,204824.43,40430.76,155275.36,2565028.73,255483.32,1450122.94,1273345.46,9797030.43,617778.11,2570222.27,489517.31,168707.09,276589.41,6963.75,7768.66,34464.99,16788.28,15458.93,35204.70,15855.41,214696.62,181850.66,116320.30,73202.30,5661.36,26459.17,19004.91,73575.04,5886.30,157578.61,186521.93,1440917.45,258947.35,91801.44,36458.93,8090.85,17823.57,51969.56,40528.42,268623.71,0.00,29478815.17,1957814.78,0.00,89349.79,12168589.55,43694569.29
