;Sek_1;Sek_2;Sek_3;Sek_4;Sek_5;Sek_6;Sek_7;Sek_8;Sek_9;Sek_10;Sek_11;Sek_12;Sek_13;Sek_14;Sek_15;Sek_16;Sek_17;Sek_18;Sek_19;Sek_20;Sek_21;Sek_22;Sek_23;Sek_24;Sek_25;Sek_26;Sek_27;Sek_28;Sek_29;Sek_30;Sek_31;Sek_32;Sek_33;Sek_34;Sek_35;Sek_36;Sek_37;Sek_38;Sek_39;Sek_40;Sek_41;Sek_42;Sek_43;Sek_44;Sek_45;Sek_46;Sek_47;Sek_48;Sek_49;Sek_50;Sek_51;Sek_52;Sek_53;Sek_54;Sek_55;Sek_56;Sek_57;Sek_58;Sek_59;Sek_60;Sek_61;Sek_62;Sek_63;Sek_64;EMEK;SERMAYE;GELİR VERGİSİ;SEKTÖR ÜRÜN VERGİ;ÜRETİM VERGİ;ÜRETİM SÜBVANSİYON;HANEHALKI;DEVLET;YATIRIM;DIŞ DÜNYA (İHRACAT);TOPLAM
Sek_1;34.523.044,89;23.721,14;21.596,54;35.108,59;41.724.960,23;4.368.891,13;59.111,56;41.391,12;1.251,44;1.221,78;90.805,77;40.845,36;367.668,56;12.067,85;2.042,93;2.841,94;98,26;2.534,37;4.584,74;1.043,41;914,03;40.610,15;2.321,30;2.845,70;646,62;7.994,62;156.303,38;9.991,70;511.621,65;385.025,04;22.940,30;3.380,44;304,62;2.829,00;2.807,96;3.844.414,42;566,34;2.190,52;2.429,50;2.358,32;4.180,24;851,99;593,2;35.876,56;7.954,61;5.829,42;77.935,20;625,05;237,31;39.116,89;121,99;87,63;51.051,12;71.054,10;1.076.466,33;117.456,80;59.501,75;49.804,72;3.550,73;64.870,86;17.529,59;1.963,89;20.746,50; -   ; -   ; -   ; -   ; -   ; -   ; -   ;75.284.080,41; -   ;14.817.792,21;10.637.334,97;188.773.941,28
Sek_2;55.695,49;89.468,99;2.157,13;86.832,20;87.993,89;12.465,61;1.208.463,73;279.753,92;10,14;153,3;100.678,51;105,79;6.957,34;18.869,62;1.648,42;1.763,54;4,17;6.872,41;5.163,13;207,77;20;89,84;16,3;402,16;119,17;1.787,97;15.792,52;696,96;3.701,29;1.391,03;3.145,42;46,94;29,96;36,94;22,88;49.576,70;12,66;158,84;1.080,44;29,64;95,19;17,38;17,96;10.283,40;12.701,26;49,13;3.031,90;7,49;20,85;7,53;4,33;3,69;1.141,15;9.665,44;1.321,78;2.502,14;589,6;18,82;6.793,98;538,72;742,81;468,29;3.770,85; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.161.409,49; -   ;35.277,62;14.045,10;4.307.948,69
Sek_3; -   ; -   ;87.749,04;725,56;249.962,16;122,63; -   ; -   ; -   ;63,21;55,09; -   ; -   ;1.188,60; -   ; -   ; -   ; -   ; -   ; -   ;14,07; -   ; -   ; -   ; -   ;0,45;4.272,65; -   ;6.285,13;33.746,82; -   ;677,38; -   ;422,76; -   ;477.783,51;1,22; -   ; -   ; -   ; -   ; -   ; -   ;43,37; -   ; -   ; -   ; -   ; -   ;2.030,59; -   ; -   ;1.785,08;635,11;5.062,15;118,23;1.755,97;22,59;1.442,91;22,45;186,42; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.571.892,69; -   ;16.986,07;334.201,93;3.799.255,85
Sek_4;416.709,40;10.128,94;1.189,15;1.245.128,19;364.788,31;272.448,95;28.114,88;45.535,71;6.577,82;6.225.799,28;495.431,50;6.497,89;70.278,50;5.443.098,44;4.596.860,51;133.992,39;3.046,53;134.496,63;30.137,09;59.269,89;4.926,27;40.635,64;31.976,85;4.854.733,87;6.786,30;79.344,69;4.602.723,33;58.280,63;619.683,32;148.573,59;324.212,52;14.370,74;12.131,10;13.650,18;3.856,55;103.807,09;1.751,45;2.792,51;11.590,74;1.781,88;5.686,86;1.293,36;3.174,36;297.058,64;67.933,90;11.724,94;94.739,47;636,58;3.587,54;6.795,22;4.083,22;293,49;22.605,35;34.387,38;51.024,85;17.175,17;134.842,01;4.959,83;4.297,90;7.001,94;13.851,20;11.657,02;35.514,10; -   ; -   ; -   ; -   ; -   ; -   ; -   ;6.049.183,37;6.891,21;3.006.516,83;4.749.429,32;45.173.484,30
Sek_5;5.718.084,88;1.335,08;144.997,75;49.882,26;17.157.423,51;609.463,62;23.555,36;116.117,66;23.908,74;23.803,14;207.811,04;73.893,24;131.493,35;80.093,04;70.107,49;58.771,17;11.577,75;68.322,10;46.094,67;51.367,09;12.849,73;118.505,39;28.002,40;39.591,07;7.846,04;28.899,81;308.092,02;53.288,97;565.201,63;1.277.957,84;215.379,54;22.087,23;24.078,03;27.712,74;29.078,00;14.663.723,37;6.824,86;18.669,84;28.825,43;11.156,45;42.182,89;8.995,43;6.540,03;34.341,19;24.194,35;54.546,27;39.419,73;1.943,99;5.488,16;40.255,04;4.050,01;1.031,58;60.782,16;276.904,03;1.264.239,62;225.653,08;240.069,69;140.886,26;18.767,79;145.851,93;31.759,79;22.443,29;192.230,39; -   ; -   ; -   ; -   ; -   ; -   ; -   ;122.253.227,75;33.444,93;1.555.823,06;15.986.443,84;184.867.389,56
Sek_6;188.519,00;4.400,67;9.308,15;99.436,26;420.748,51;45.836.642,26;29.085,43;369.710,04;34.700,49;14.484,88;271.198,21;128.068,88;399.498,44;211.007,59;91.272,60;100.350,09;14.334,93;133.863,27;132.227,45;367.042,35;29.262,95;1.813.511,09;48.532,50;16.859,41;8.494,75;28.687,37;453.155,22;92.456,98;1.004.666,17;723.315,84;231.771,29;8.110,91;28.928,20;35.524,59;46.110,80;328.430,55;6.201,98;17.046,00;17.591,09;6.307,27;15.356,03;8.117,15;2.479,24;40.591,41;36.678,27;35.437,71;26.710,24;1.030,02;29.841,59;34.498,03;9.727,72;6.744,01;118.564,67;213.709,20;644.114,01;62.859,83;112.401,12;25.001,55;19.688,98;83.421,21;9.939,02;105.937,25;919.642,13; -   ; -   ; -   ; -   ; -   ; -   ; -   ;55.292.659,60;36.932,48;-2.000.233,85;52.944.773,65;162.637.486,81
Sek_7;104.446,04;800,46;1.353,71;49.084,77;78.362,08;90.980,81;1.599.024,82;40.675,32;10.589,10;2.730,52;57.802,32;5.949,81;103.039,63;182.242,26;66.086,70;160.111,25;3.495,01;127.436,31;85.035,67;19.216,76;22.063,95;2.764.673,30;271.678,07;3.790,41;3.843,50;11.199,52;3.514.592,43;14.321,33;183.427,05;94.042,72;40.865,88;1.128,50;3.813,96;2.978,35;1.738,82;11.383,73;1.179,87;1.845,14;3.859,84;1.083,15;1.998,25;747,03;674,18;15.877,01;14.957,48;2.853,56;18.177,04;343,54;3.518,10;38.040,10;2.115,54;100,72;1.495,76;19.467,36;29.715,22;4.377,33;41.193,59;710,68;2.189,66;2.733,22;73.552,79;65.945,12;50.464,77; -   ; -   ; -   ; -   ; -   ; -   ; -   ;581.772,29;3.755,92;599.253,68;1.240.262,60;12.558.265,36
Sek_8;269.870,81;10.365,91;12.664,45;15.983,01;1.917.483,02;980.651,50;102.135,06;1.922.729,67;789.380,21;44.424,70;450.316,10;115.445,65;401.384,25;392.705,05;151.755,81;191.489,71;41.854,69;260.024,22;91.087,44;104.587,34;8.385,77;130.525,17;4.970,00;86.763,81;7.807,09;11.529,37;199.083,18;41.059,65;531.751,51;440.566,31;88.116,08;1.327,54;9.617,74;71.021,36;53.735,63;420.771,73;219.056,73;9.185,86;53.745,55;67.665,24;166.525,00;22.240,45;63.628,77;34.193,57;21.352,84;310.689,14;163.550,03;4.849,56;31.215,76;20.833,50;1.240,43;5.283,92;14.298,20;187.713,54;237.815,75;233.958,30;226.997,05;37.074,96;53.329,04;21.893,48;27.837,98;7.107,32;18.075,55; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4.869.187,50;39.733,88;68.383,11;2.885.056,05;20.497.088,60
Sek_9;12.555,90;6.180,65;629,33;7.207,02;179.176,32;152.544,08;10.228,30;134.581,46;672.065,37;2.839,07;52.547,87;48.786,46;88.196,70;37.792,77;19.195,43;32.009,77;14.155,47;92.976,78;66.063,05;34.471,42;11.654,76;296.437,62;10.655,69;11.527,89;3.102,50;6.052,87;109.779,99;80.020,23;1.381.748,35;1.135.483,16;297.156,32;4.219,92;3.273,48;111.273,47;39.884,51;105.606,11;919.467,75;47.722,94;66.726,33;38.533,57;143.539,61;28.904,45;66.404,17;12.742,37;5.626,11;78.584,24;89.889,66;3.171,52;317.953,94;43.612,83;5.208,68;22.742,06;497.744,41;217.089,75;381.775,69;210.673,51;79.231,51;25.346,11;80.152,51;29.388,47;105.114,85;134.419,01;59.870,78; -   ; -   ; -   ; -   ; -   ; -   ; -   ;479.508,75;9.226,22;-291.160,44;227.166,95;9.408.458,42
Sek_10;4.537.195,13;33.192,84;159.960,39;1.653.809,97;748.222,21;631.223,16;109.688,41;111.610,86;57.101,61;936.763,52;827.979,51;61.763,76;444.784,21;1.899.253,38;391.701,11;318.604,07;15.075,74;476.188,81;190.422,59;169.189,13;25.752,37;196.898,73;119.114,70;438.695,21;86.886,35;335.686,38;5.469.164,10;549.506,66;3.078.942,31;2.666.415,02;20.638.652,39;1.306.088,87;5.442.057,13;1.040.201,41;355.110,21;607.428,89;15.783,04;17.590,33;73.704,87;35.890,30;34.589,53;74.526,18;34.265,91;473.647,80;407.249,80;243.058,45;155.214,48;12.698,59;57.803,71;42.567,72;155.015,05;12.087,56;306.557,42;405.634,31;3.057.167,37;550.654,73;207.870,21;77.269,30;17.515,64;40.890,45;111.469,49;86.560,14;561.531,83; -   ; -   ; -   ; -   ; -   ; -   ; -   ;17.580.102,52;7.197,64;619.265,83;12.337.144,76;93.942.856,10
